       mag_r,         eff,    eff_star
      20.050,       0.998,       0.964
      20.150,       0.998,       0.957
      20.250,       0.994,       0.951
      20.350,       0.999,       0.959
      20.450,       0.995,       0.953
      20.550,       0.999,       0.967
      20.650,       0.998,       0.962
      20.750,       0.997,       0.944
      20.850,       0.998,       0.944
      20.950,       0.998,       0.945
      21.050,       0.997,       0.943
      21.150,       0.996,       0.951
      21.250,       0.997,       0.946
      21.350,       0.994,       0.936
      21.450,       0.995,       0.938
      21.550,       0.996,       0.927
      21.650,       0.998,       0.931
      21.750,       0.997,       0.933
      21.850,       0.996,       0.921
      21.950,       0.998,       0.925
      22.050,       0.995,       0.918
      22.150,       0.996,       0.915
      22.250,       0.994,       0.905
      22.350,       0.993,       0.913
      22.450,       0.993,       0.901
      22.550,       0.996,       0.903
      22.650,       0.991,       0.898
      22.750,       0.992,       0.888
      22.850,       0.992,       0.872
      22.950,       0.990,       0.877
      23.050,       0.992,       0.856
      23.150,       0.991,       0.862
      23.250,       0.988,       0.848
      23.350,       0.991,       0.837
      23.450,       0.987,       0.820
      23.550,       0.985,       0.809
      23.650,       0.985,       0.789
      23.750,       0.987,       0.764
      23.850,       0.981,       0.730
      23.950,       0.977,       0.728
      24.050,       0.976,       0.697
      24.150,       0.977,       0.678
      24.250,       0.969,       0.635
      24.350,       0.966,       0.609
      24.450,       0.954,       0.567
      24.550,       0.942,       0.520
      24.650,       0.920,       0.475
      24.750,       0.892,       0.432
      24.850,       0.842,       0.365
      24.950,       0.793,       0.327
      25.050,       0.714,       0.263
      25.150,       0.638,       0.227
      25.250,       0.559,       0.181
      25.350,       0.488,       0.145
      25.450,       0.416,       0.124
      25.550,       0.350,       0.094
      25.650,       0.284,       0.068
      25.750,       0.238,       0.059
      25.850,       0.193,       0.044
      25.950,       0.158,       0.034
      26.050,       0.136,       0.028
      26.150,       0.112,       0.023
      26.250,       0.096,       0.018
      26.350,       0.082,       0.015
      26.450,       0.075,       0.014
      26.550,       0.067,       0.013
      26.650,       0.060,       0.011
      26.750,       0.057,       0.011
      26.850,       0.054,       0.009
      26.950,       0.051,       0.009
